YEAR,TEAM,FGM,FGA,FG2M,FG2A,FG3M,FG3A
2014,Washington Wizards,601,1406,286,545,315,861
2014,Utah Jazz,668,1502,297,591,371,911
2014,Toronto Raptors,563,1254,241,464,322,790
2014,San Antonio Spurs,482,1127,238,503,244,624
2014,Sacramento Kings,678,1484,300,557,378,927
2014,Portland Trail Blazers,589,1385,324,655,265,730
2014,Phoenix Suns,543,1248,251,481,292,767
2014,Philadelphia 76ers,809,1753,353,665,456,1088
2014,Orlando Magic,668,1540,310,616,358,924
2014,Oklahoma City Thunder,673,1577,270,546,403,1031
2014,New York Knicks,662,1475,245,447,417,1028
2014,New Orleans Pelicans,611,1383,244,469,367,914
2014,Minnesota Timberwolves,665,1496,315,595,350,901
2014,Milwaukee Bucks,658,1488,254,490,404,998
2014,Miami Heat,588,1342,258,483,330,859
2014,Memphis Grizzlies,573,1267,272,517,301,750
2014,Los Angeles Lakers,699,1571,339,631,360,940
2014,Los Angeles Clippers,544,1300,265,520,279,780
2014,Indiana Pacers,522,1202,285,550,237,652
2014,Houston Rockets,704,1582,328,627,376,955
2014,Golden State Warriors,556,1257,277,535,279,722
2014,Detroit Pistons,669,1533,276,507,393,1026
2014,Denver Nuggets,647,1448,321,623,326,825
2014,Dallas Mavericks,621,1390,235,430,386,960
2014,Cleveland Cavaliers,686,1618,265,519,421,1099
2014,Chicago Bulls,605,1426,296,621,309,805
2014,Charlotte Hornets,581,1305,254,494,327,811
2014,Brooklyn Nets,601,1316,256,460,345,856
2014,Boston Celtics,554,1316,264,517,290,799
2014,Atlanta Hawks,613,1395,263,520,350,875
2015,Washington Wizards,545,1359,220,474,325,885
2015,Utah Jazz,591,1350,245,505,346,845
2015,Toronto Raptors,601,1353,268,492,333,861
2015,San Antonio Spurs,485,1137,216,467,269,670
2015,Sacramento Kings,673,1562,278,532,395,1030
2015,Portland Trail Blazers,545,1297,272,537,273,760
2015,Phoenix Suns,560,1232,256,452,304,780
2015,Philadelphia 76ers,702,1631,284,549,418,1082
2015,Orlando Magic,666,1498,276,536,390,962
2015,Oklahoma City Thunder,686,1641,267,524,419,1117
2015,New York Knicks,613,1316,235,437,378,879
2015,New Orleans Pelicans,575,1286,289,499,286,787
2015,Minnesota Timberwolves,736,1617,298,521,438,1096
2015,Milwaukee Bucks,563,1348,199,402,364,946
2015,Miami Heat,546,1263,237,444,309,819
2015,Memphis Grizzlies,542,1245,236,452,306,793
2015,Los Angeles Lakers,658,1617,266,523,392,1094
2015,Los Angeles Clippers,647,1506,308,593,339,913
2015,Indiana Pacers,534,1281,247,503,287,778
2015,Houston Rockets,629,1495,273,525,356,970
2015,Golden State Warriors,538,1290,253,509,285,781
2015,Detroit Pistons,573,1349,253,473,320,876
2015,Denver Nuggets,633,1470,297,559,336,911
2015,Dallas Mavericks,698,1552,263,488,435,1064
2015,Cleveland Cavaliers,649,1487,282,521,367,966
2015,Chicago Bulls,559,1318,288,560,271,758
2015,Charlotte Hornets,612,1359,268,508,344,851
2015,Brooklyn Nets,667,1503,288,533,379,970
2015,Boston Celtics,568,1364,239,458,329,906
2015,Atlanta Hawks,611,1470,234,460,377,1010
2016,Washington Wizards,618,1403,258,507,360,896
2016,Utah Jazz,608,1352,249,457,359,895
2016,Toronto Raptors,604,1377,204,422,400,955
2016,San Antonio Spurs,547,1322,253,520,294,802
2016,Sacramento Kings,853,1861,350,595,503,1266
2016,Portland Trail Blazers,622,1383,247,499,375,884
2016,Phoenix Suns,749,1636,291,537,458,1099
2016,Philadelphia 76ers,660,1470,283,529,377,941
2016,Orlando Magic,630,1433,205,378,425,1055
2016,Oklahoma City Thunder,645,1564,262,515,383,1049
2016,New York Knicks,618,1489,287,547,331,942
2016,New Orleans Pelicans,645,1555,245,511,400,1044
2016,Minnesota Timberwolves,627,1474,237,434,390,1040
2016,Milwaukee Bucks,685,1637,220,460,465,1177
2016,Miami Heat,509,1211,213,430,296,781
2016,Memphis Grizzlies,656,1474,245,436,411,1038
2016,Los Angeles Lakers,695,1628,298,540,397,1088
2016,Los Angeles Clippers,652,1568,314,627,338,941
2016,Indiana Pacers,611,1472,225,436,386,1036
2016,Houston Rockets,785,1781,324,580,461,1201
2016,Golden State Warriors,600,1355,267,493,333,862
2016,Detroit Pistons,549,1254,250,496,299,758
2016,Denver Nuggets,676,1554,254,510,422,1044
2016,Dallas Mavericks,688,1682,256,483,432,1199
2016,Cleveland Cavaliers,590,1398,245,476,345,922
2016,Chicago Bulls,640,1531,280,552,360,979
2016,Charlotte Hornets,574,1438,200,402,374,1036
2016,Brooklyn Nets,677,1520,266,469,411,1051
2016,Boston Celtics,556,1325,230,425,326,900
2016,Atlanta Hawks,661,1544,256,486,405,1058
2017,Washington Wizards,651,1509,195,395,456,1114
2017,Utah Jazz,584,1343,232,429,352,914
2017,Toronto Raptors,620,1522,205,403,415,1119
2017,San Antonio Spurs,590,1415,230,437,360,978
2017,Sacramento Kings,705,1678,223,416,482,1262
2017,Portland Trail Blazers,590,1323,210,386,380,937
2017,Phoenix Suns,730,1603,287,512,443,1091
2017,Philadelphia 76ers,622,1550,228,443,394,1107
2017,Orlando Magic,715,1588,246,438,469,1150
2017,Oklahoma City Thunder,612,1444,214,386,398,1058
2017,New York Knicks,675,1664,230,432,445,1232
2017,New Orleans Pelicans,695,1731,225,431,470,1300
2017,Minnesota Timberwolves,654,1569,211,401,443,1168
2017,Milwaukee Bucks,614,1467,164,316,450,1151
2017,Miami Heat,504,1167,197,373,307,794
2017,Memphis Grizzlies,667,1540,209,373,458,1167
2017,Los Angeles Lakers,741,1673,273,471,468,1202
2017,Los Angeles Clippers,734,1725,311,592,423,1133
2017,Indiana Pacers,671,1587,192,341,479,1246
2017,Houston Rockets,700,1657,246,425,454,1232
2017,Golden State Warriors,639,1566,242,446,397,1120
2017,Detroit Pistons,587,1385,202,413,385,972
2017,Denver Nuggets,697,1604,274,508,423,1096
2017,Dallas Mavericks,594,1372,191,385,403,987
2017,Cleveland Cavaliers,737,1702,241,451,496,1251
2017,Chicago Bulls,679,1678,246,456,433,1222
2017,Charlotte Hornets,747,1745,194,378,553,1367
2017,Brooklyn Nets,712,1619,264,489,448,1130
2017,Boston Celtics,592,1488,217,384,375,1104
2017,Atlanta Hawks,773,1781,255,453,518,1328
2018,Washington Wizards,658,1568,212,374,446,1194
2018,Utah Jazz,606,1402,219,406,387,996
2018,Toronto Raptors,614,1426,203,375,411,1051
2018,San Antonio Spurs,651,1554,241,444,410,1110
2018,Sacramento Kings,709,1609,194,321,515,1288
2018,Portland Trail Blazers,540,1335,164,355,376,980
2018,Phoenix Suns,744,1744,249,439,495,1305
2018,Philadelphia 76ers,660,1650,198,395,462,1255
2018,Orlando Magic,689,1602,243,427,446,1175
2018,Oklahoma City Thunder,727,1654,202,340,525,1314
2018,New York Knicks,738,1709,248,430,490,1279
2018,New Orleans Pelicans,781,1838,274,504,507,1334
2018,Minnesota Timberwolves,748,1690,247,410,501,1280
2018,Milwaukee Bucks,600,1348,195,343,405,1005
2018,Miami Heat,531,1157,173,272,358,885
2018,Memphis Grizzlies,686,1520,219,372,467,1148
2018,Los Angeles Lakers,659,1575,204,359,455,1216
2018,Los Angeles Clippers,796,1822,301,522,495,1300
2018,Indiana Pacers,591,1394,165,280,426,1114
2018,Houston Rockets,675,1572,216,369,459,1203
2018,Golden State Warriors,696,1598,225,413,471,1185
2018,Detroit Pistons,695,1625,197,339,498,1286
2018,Denver Nuggets,743,1649,220,385,523,1264
2018,Dallas Mavericks,682,1665,220,409,462,1256
2018,Cleveland Cavaliers,785,1780,219,376,566,1404
2018,Chicago Bulls,778,1786,215,391,563,1395
2018,Charlotte Hornets,781,1763,271,488,510,1275
2018,Brooklyn Nets,669,1478,268,490,401,988
2018,Boston Celtics,571,1425,178,342,393,1083
2018,Atlanta Hawks,729,1770,200,384,529,1386
2019,Washington Wizards,796,1761,214,335,582,1426
2019,Utah Jazz,599,1462,206,374,393,1088
2019,Toronto Raptors,657,1572,177,305,480,1267
2019,San Antonio Spurs,798,1856,232,411,566,1445
2019,Sacramento Kings,712,1775,157,270,555,1505
2019,Portland Trail Blazers,636,1501,176,337,460,1164
2019,Phoenix Suns,773,1742,232,355,541,1387
2019,Philadelphia 76ers,715,1750,224,408,491,1342
2019,Orlando Magic,618,1512,190,319,428,1193
2019,Oklahoma City Thunder,674,1600,194,332,480,1268
2019,New York Knicks,748,1822,173,346,575,1476
2019,New Orleans Pelicans,825,1953,221,367,604,1586
2019,Minnesota Timberwolves,798,1783,173,286,625,1497
2019,Milwaukee Bucks,822,1996,196,375,626,1621
2019,Miami Heat,706,1658,177,312,529,1346
2019,Memphis Grizzlies,671,1681,129,272,542,1409
2019,Los Angeles Lakers,802,2018,240,411,562,1607
2019,Los Angeles Clippers,662,1657,214,376,448,1281
2019,Indiana Pacers,666,1545,177,291,489,1254
2019,Houston Rockets,659,1570,194,300,465,1270
2019,Golden State Warriors,745,1774,220,367,525,1407
2019,Detroit Pistons,622,1476,200,336,422,1140
2019,Denver Nuggets,687,1678,179,326,508,1352
2019,Dallas Mavericks,764,1872,235,397,529,1475
2019,Cleveland Cavaliers,749,1696,223,357,526,1339
2019,Chicago Bulls,758,1762,226,393,532,1369
2019,Charlotte Hornets,726,1738,169,293,557,1445
2019,Brooklyn Nets,718,1764,238,477,480,1287
2019,Boston Celtics,704,1697,176,292,528,1405
2019,Atlanta Hawks,832,1942,227,409,605,1533
2020,Washington Wizards,589,1363,146,229,443,1134
2020,Utah Jazz,517,1250,154,282,363,968
2020,Toronto Raptors,593,1582,98,182,495,1400
2020,San Antonio Spurs,628,1446,153,242,475,1204
2020,Sacramento Kings,488,1261,87,151,401,1110
2020,Portland Trail Blazers,666,1531,143,260,523,1271
2020,Phoenix Suns,536,1216,133,217,403,999
2020,Philadelphia 76ers,565,1352,174,294,391,1058
2020,Orlando Magic,603,1368,141,223,462,1145
2020,Oklahoma City Thunder,534,1376,131,258,403,1118
2020,New York Knicks,555,1211,116,185,439,1026
2020,New Orleans Pelicans,614,1388,163,266,451,1122
2020,Minnesota Timberwolves,477,1141,129,226,348,915
2020,Milwaukee Bucks,703,1785,139,281,564,1504
2020,Miami Heat,536,1329,119,196,417,1133
2020,Memphis Grizzlies,625,1523,146,255,479,1268
2020,Los Angeles Lakers,640,1475,178,319,462,1156
2020,Los Angeles Clippers,574,1439,130,239,444,1200
2020,Indiana Pacers,519,1251,121,196,398,1055
2020,Houston Rockets,605,1388,174,254,431,1134
2020,Golden State Warriors,606,1320,131,207,475,1113
2020,Detroit Pistons,515,1147,154,251,361,896
2020,Denver Nuggets,603,1441,153,271,450,1170
2020,Dallas Mavericks,606,1505,157,263,449,1242
2020,Cleveland Cavaliers,576,1284,150,249,426,1035
2020,Chicago Bulls,441,1075,110,181,331,894
2020,Charlotte Hornets,545,1305,124,191,421,1114
2020,Brooklyn Nets,671,1634,205,392,466,1242
2020,Boston Celtics,552,1366,129,222,423,1144
2020,Atlanta Hawks,557,1289,161,253,396,1036